Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si
23200077,2023-04-02,2062BK1,122.88,7.48,10146.0,996.0,861.0,2303.0,1671.0,304.0,246.0,6363.0,1447.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2221.0,0.9426204357092467,51.7822265620786,10.18674698794158,0.7523638000897108,6,0.18,0.82,0.021,0.022,0.2
23200073,2023-04-02,2062BK1,128.75,10.21,9081.0,1473.0,855.0,2945.0,1681.0,297.0,243.0,6499.0,1119.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2221.0,0.9265256188764642,50.47766990252057,6.164969450097647,0.7568662764517079,6,0.18,0.84,0.015,0.025,0.21
23300027,2023-04-02,2062BK1,125.4,8.76,8952.0,1815.0,769.0,3433.0,1723.0,299.0,0.0,6200.0,1037.0,329.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2022.0,0.9347048300467004,49.44178628349727,4.93223140495596,0.8521266073190642,6,0.21,0.85,0.016,0.025,0.22
23200066,2023-04-02,C20MMNC(BSP),118.43,8.09,10692.0,2697.0,910.0,3036.0,1684.0,267.0,179.0,6467.0,1030.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2130.0,0.9360575403024339,54.60609642780877,3.9644048943255603,0.7906103286381265,43,0.21,0.86,0.022,0.021,0.2
23200063,2023-04-02,1786500D,123.66,8.14,8400.0,1380.0,897.0,2232.0,1674.0,250.0,0.0,5985.0,950.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1924.0,0.938239757200772,48.39883551634806,6.086956521734719,0.8700623700619179,2,0.21,0.86,0.017,0.024,0.244
23200056,2023-04-02,2062BK1,127.01,7.52,10143.0,2598.0,841.0,2841.0,1664.0,263.0,172.0,1704.0,270.0,4828.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2099.0,0.9441016873489624,13.41626643560809,3.904157043878405,0.7927584564074356,6,0.22,0.79,0.014,0.026,0.23
23200053,2023-04-02,1786500D,121.72,7.86,8931.0,1497.0,803.0,3609.0,2403.0,108.0,489.0,6547.0,1592.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,3000.0,0.9393424911179244,53.78738087369547,5.96593186372347,0.800999999999733,2,0.2,1.18,0.017,0.014,0.19
23200050,2023-04-02,2062BK1,126.77,7.43,9993.0,2016.0,800.0,4353.0,1664.0,273.0,0.0,6336.0,1087.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1937.0,0.944634873316359,49.980279245484105,4.95684523809278,0.8590604026841203,6,0.21,0.85,0.022,0.031,0.22
23200047,2023-04-02,C20MMNC(BSP),119.14,8.15,9678.0,1515.0,795.0,2960.0,1661.0,263.0,0.0,6191.0,983.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1924.0,0.9359729750888838,51.9640758766832,6.388118811876971,0.8633056133051646,43,0.2,0.76,0.027,0.03,0.21
23200042,2023-04-02,C20MMNC(BSP),121.35,8.16,9651.0,1515.0,806.0,3522.0,1667.0,263.0,0.0,6441.0,1288.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1930.0,0.9369932823647827,53.077873917980405,6.370297029698765,0.863730569947739,43,0.22,0.78,0.024,0.03,0.2
